rank,program,n_genes,median_ids,q25_ids,mean_ids,min_pair_ids,density,recurrence,genes
1,P01_HBB,3,0.901977408139362,0.8941297940684412,0.9181725016678989,0.8862821799975205,1.0,,"HBB, HBA2, HBA1"
2,P02_HES4,7,0.4845725228605998,0.3865503724596073,0.4696174610214622,0.2969970180242532,0.42857142857142855,,"HES4, FCGR3A, IFITM3, CDKN1C, TCF7L2, NAP1L1, LINC01272"
3,P03_FCRL5,22,0.47965126520889023,0.39343052937310274,0.45878079939946603,0.013478434599426752,0.42424242424242425,,"FCRL5, RALGPS2, IGKC, AFF3, BANK1, ADAM28, PAX5, MS4A1, RP11-693J15.5, TCL1A, IGHA1, IGHD, IGHM, LINC00926, RP11-231C14.7, CD79B, FCER2, FAM129C, CD22, CD79A, CD37, VPREB3"
4,P04_PYHIN1,25,0.43062695803791495,0.34577442845984785,0.4422755934691892,0.12368290149235518,0.32,,"PYHIN1, C1orf21, GNLY, CD8A, SPON2, FGFBP2, HOPX, GZMA, SAMD3, MYBL1, CTSW, PRF1, KLRF1, KLRD1, KLRC1, GZMH, GZMB, B2M, ADGRG1, CCL5, CCL4, CST7, GZMM, HCST, NKG7"
